tracedir, tracefile, reid_rate, MIA_acc, MIA_adv, -, TP-TV_syn, TP-TV_tes, TP-TV_uni, -, TP-TV-Top50_syn, TP-TV-Top50_tes, TP-TV-Top50_uni, -, TP-SWD_syn, TP-SWD_tes, TP-SWD_uni, -, VF-TV_syn, VF-TV_tes, VF-TV_uni, -, TM-TV_syn, TM-TV_tes, TM-TV_uni, -, TM-SWD_syn, TM-SWD_tes, TM-SWD_uni
PPMTF_TK_alp2_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.002,0.5038,0.007600000000000051,-,0.4567933333333209,0.38553333333332435,0.5409833333333685,-,0.14092333333333137,0.12156666666666455,0.19826666666666481,-,0.6363290662953919,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.45742446299949757,0.2995125080722108,0.9883499999999971,-,1.6855968542618307,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.5_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0024,0.5011,0.0022000000000000908,-,0.521699999999987,0.38553333333332435,0.5409833333333685,-,0.16170999999999786,0.12156666666666455,0.19826666666666481,-,0.9674101036259171,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4918213220255181,0.2995125080722108,0.9883499999999971,-,2.2788880150146045,0.6222553231783196,6.209186090742196
PPMTF_TK_alp1_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0014,0.5017,0.0034000000000000696,-,0.46827999999998776,0.38553333333332435,0.5409833333333685,-,0.13938333333333147,0.12156666666666455,0.19826666666666481,-,0.6578462531674273,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4730369162920473,0.2995125080722108,0.9883499999999971,-,1.9407878796738536,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.7_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0022,0.5019,0.0038000000000000256,-,0.48800666666665266,0.38553333333332435,0.5409833333333685,-,0.14549333333333142,0.12156666666666455,0.19826666666666481,-,0.7599470226832874,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.49804985054960615,0.2995125080722108,0.9883499999999971,-,2.218620249922789,0.6222553231783196,6.209186090742196
PPMTF_TK_alp10_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.003,0.5091,0.018199999999999883,-,0.42665999999999016,0.38553333333332435,0.5409833333333685,-,0.13586333333333128,0.12156666666666455,0.19826666666666481,-,0.5693554514379262,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4832056022183929,0.2995125080722108,0.9883499999999971,-,1.8706662719618745,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.9_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0022,0.5024,0.0047999999999999154,-,0.4746599999999871,0.38553333333332435,0.5409833333333685,-,0.14130333333333142,0.12156666666666455,0.19826666666666481,-,0.669049073936134,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4831912467081695,0.2995125080722108,0.9883499999999971,-,2.085806114553852,0.6222553231783196,6.209186090742196
PPMTF_TK_alp100_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0018,0.5266,0.053200000000000025,-,0.4078533333333252,0.38553333333332435,0.5409833333333685,-,0.12942333333333123,0.12156666666666455,0.19826666666666481,-,0.37128933986378987,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.47262748932790516,0.2995125080722108,0.9883499999999971,-,1.6215625546101795,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.8_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0024,0.5019,0.0038000000000000256,-,0.48501999999998685,0.38553333333332435,0.5409833333333685,-,0.14562666666666474,0.12156666666666455,0.19826666666666481,-,0.6973717332538505,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5017493672509753,0.2995125080722108,0.9883499999999971,-,2.273227739101598,0.6222553231783196,6.209186090742196
PPMTF_TK_alp1000_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.002,0.5232,0.0464,-,0.4128066666666587,0.38553333333332435,0.5409833333333685,-,0.13201666666666453,0.12156666666666455,0.19826666666666481,-,0.4741297573571413,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.46248460084677834,0.2995125080722108,0.9883499999999971,-,1.5182229782264318,0.6222553231783196,6.209186090742196
PPMTF_TK_alp20_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0022,0.512,0.02400000000000002,-,0.4123799999999906,0.38553333333332435,0.5409833333333685,-,0.1282633333333313,0.12156666666666455,0.19826666666666481,-,0.4032858110778436,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4799591302579563,0.2995125080722108,0.9883499999999971,-,1.8138464090635473,0.6222553231783196,6.209186090742196
PPMTF_TK_alp200_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.0016,0.5195,0.039000000000000035,-,0.4023599999999923,0.38553333333332435,0.5409833333333685,-,0.1258899999999979,0.12156666666666455,0.19826666666666481,-,0.38628341069318356,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4667839513822922,0.2995125080722108,0.9883499999999971,-,1.5666345223416773,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.6_mnt100_mnv100,syntraces_Itr100_SmplA2.csv,0.001,0.5021,0.0041999999999999815,-,0.5159333333333189,0.38553333333332435,0.5409833333333685,-,0.1600866666666647,0.12156666666666455,0.19826666666666481,-,0.8821186628253063,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5000158993775357,0.2995125080722108,0.9883499999999971,-,2.30388888422522,0.6222553231783196,6.209186090742196
